"runoff_location","runoff_datetime","replicate","filter_wt","filter_dry_wt","vol_filtered","filter_ash_wt","data_qualifier","comments","blank"
"centralNorth",2017-07-18 00:00:10,1,0.128,0.1281,139,0.1273,NA,NA,"TRUE"
"centralNorth",2017-07-18 05:45:00,1,0.1302,0.1357,133,0.1338,NA,NA,"FALSE"
"centralNorth",2017-07-18 06:00:00,1,0.1265,0.132,139,0.1302,NA,NA,"FALSE"
"centralNorth",2017-07-18 06:15:00,1,0.1354,0.1405,131,0.1386,NA,NA,"FALSE"
"centralNorth",2017-07-18 06:30:00,1,0.1379,0.1437,140,0.1417,NA,NA,"FALSE"
"centralNorth",2017-07-18 06:45:00,1,0.1383,0.1438,135,0.1415,NA,NA,"FALSE"
"centralNorth",2017-07-18 07:00:00,1,0.1375,0.1429,139,0.1411,NA,NA,"FALSE"
"centralNorth",2017-07-18 07:15:00,1,0.1349,0.1407,140,0.1387,NA,NA,"FALSE"
"centralNorth",2017-07-18 07:30:00,1,0.1363,0.1418,139,0.1396,NA,NA,"FALSE"
"centralNorth",2017-07-18 08:01:00,1,0.1379,0.1428,140,0.1411,NA,NA,"FALSE"
"centralNorth",2017-07-18 08:31:00,1,0.1356,0.1407,135,0.1388,NA,NA,"FALSE"
"centralNorth",2017-07-18 09:01:00,1,0.1364,0.1416,140,0.1399,NA,NA,"FALSE"
"centralNorth",2017-07-18 09:31:00,1,0.1373,0.1427,140,0.1406,NA,NA,"FALSE"
"centralNorth",2017-07-18 10:01:00,1,0.1294,0.1342,130,0.1326,NA,NA,"FALSE"
"centralNorth",2017-07-18 10:31:00,1,0.1297,0.1345,130,0.133,NA,NA,"FALSE"
"centralNorth",2017-07-18 11:01:00,1,0.1295,0.1348,140,0.1333,NA,NA,"FALSE"
"centralNorth",2017-07-18 11:31:00,1,0.1296,0.1347,139,0.1327,NA,NA,"FALSE"
"centralNorth",2017-07-18 12:01:00,1,0.1309,0.1364,140,0.1344,NA,NA,"FALSE"
"centralNorth",2017-07-18 12:31:00,1,0.1283,0.1329,135,0.1312,NA,NA,"FALSE"
"centralNorth",2017-07-18 13:01:00,1,0.1305,0.1354,139,0.1333,NA,NA,"FALSE"
"centralNorth",2017-07-18 13:31:00,1,0.1296,0.1342,130,0.1326,NA,NA,"FALSE"
"centralNorth",2017-07-18 14:01:00,1,0.127,0.1318,134,0.1299,NA,NA,"FALSE"
"centralNorth",2017-07-18 14:31:00,1,0.1292,0.1343,140,0.132,NA,NA,"FALSE"
"centralNorth",2017-07-18 15:01:00,1,0.1267,0.1317,139,0.1294,NA,NA,"FALSE"
"centralNorth",2017-07-18 15:31:00,1,0.1287,0.1334,130,0.1317,NA,NA,"FALSE"
"Price",2018-01-09 22:59:00,1,0.1329,0.1356,135,0.134,NA,NA,"FALSE"
"Price",2018-01-09 23:13:00,1,0.1331,0.1342,131,0.1333,NA,NA,"FALSE"
"Price",2018-01-09 23:28:00,1,0.1307,0.1318,134,0.1309,NA,NA,"FALSE"
"Price",2018-01-09 23:43:00,1,0.1312,0.1323,139,0.1312,NA,NA,"FALSE"
"Price",2018-01-09 23:58:00,1,0.1321,0.1329,134,0.1323,NA,NA,"FALSE"
"Price",2018-01-10 00:00:10,1,0.1222,0.1218,131,0.1213,NA,NA,"TRUE"
"Price",2018-01-10 00:13:00,1,0.1299,0.1306,135,0.1299,NA,NA,"FALSE"
"Price",2018-01-10 00:28:00,1,0.1294,0.1305,136,0.1296,NA,NA,"FALSE"
"Price",2018-01-10 00:43:00,1,0.1207,0.1213,134,0.1204,NA,NA,"FALSE"
"Price",2018-01-10 01:16:00,1,0.1267,0.1271,144,0.1263,NA,NA,"FALSE"
"Price",2018-01-10 01:46:00,1,0.1217,0.1221,129,0.1215,NA,NA,"FALSE"
"Price",2018-01-10 02:16:00,1,0.122,0.1305,131,0.1282,NA,NA,"FALSE"
"Price",2018-01-10 03:46:00,1,0.121,0.1253,134,0.1236,NA,NA,"FALSE"
"Price",2018-01-10 04:16:00,1,0.1234,0.1252,136,0.1244,NA,NA,"FALSE"
"Price",2018-01-10 04:46:00,1,0.1246,0.1256,140,0.125,NA,NA,"FALSE"
"Price",2018-01-10 05:16:00,1,0.1234,0.1243,140,0.1235,NA,NA,"FALSE"
"Price",2018-01-10 05:46:00,1,0.1213,0.1222,131,0.1217,NA,NA,"FALSE"
"Price",2018-01-10 06:16:00,1,0.1235,0.1245,136,0.1239,NA,NA,"FALSE"
"Price",2018-01-10 06:46:00,1,0.1224,0.1238,135,0.123,NA,NA,"FALSE"
"Price",2018-01-10 07:16:00,1,0.1258,0.1269,139,0.126,NA,NA,"FALSE"
"Price",2018-01-10 07:46:00,1,0.1225,0.1234,138,0.1225,NA,NA,"FALSE"
"Price",2018-01-10 08:16:00,1,0.121,0.1219,134,0.1213,NA,NA,"FALSE"
"Price",2018-01-10 08:46:00,1,0.1219,0.123,134,0.1221,NA,NA,"FALSE"
"Price",2018-07-09 16:42:00,1,0.1335,0.2095,125,0.1979,NA,NA,"FALSE"
"Price",2018-07-09 16:57:00,1,0.1355,0.2139,125,0.1992,NA,NA,"FALSE"
"Price",2018-07-09 17:12:00,1,0.1337,0.1521,129,0.1483,NA,NA,"FALSE"
"Price",2018-07-09 17:27:00,1,0.1283,0.1361,116,0.1339,NA,NA,"FALSE"
"Price",2018-07-09 17:42:00,1,0.128,0.1332,125,0.1313,NA,NA,"FALSE"
"Price",2018-07-09 17:57:00,1,0.1311,0.1346,127,0.1329,NA,NA,"FALSE"
"Price",2018-07-09 18:12:00,1,0.1335,0.1356,121,0.1346,NA,NA,"FALSE"
"Price",2018-07-09 18:27:00,1,0.1343,0.137,125,0.1355,NA,NA,"FALSE"
"Price",2018-07-09 18:59:00,1,0.134,0.1389,131,0.1372,NA,NA,"FALSE"
"Price",2018-07-09 19:29:00,1,0.1297,0.1332,135,0.1318,NA,NA,"FALSE"
"Price",2018-07-09 19:59:00,1,0.1316,0.1399,125,0.1376,NA,NA,"FALSE"
"Price",2018-07-09 20:29:00,1,0.135,0.1439,130,0.1414,NA,NA,"FALSE"
"Price",2018-07-09 20:59:00,1,0.1336,0.1387,126,0.137,NA,NA,"FALSE"
