"rain_location","rain_datetime","replicate","analysis","concentration","data_qualifier","comments"
"BV",2011-09-10,1,"ClD_LACHAT",2.86,NA,"RAIN"
"BV",2011-09-10,1,"PO4D_LACHAT",0.069,NA,"RAIN"
"BV",2011-09-10,1,"PO4T_TRAACS",0.19,NA,"RAIN"
"BV",2011-11-05,1,"ClD_LACHAT",2.08,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-05,1,"DOC_TOC",5.358,NA,"RAIN"
"BV",2011-11-05,1,"NO3T_TOC_TN",0.808,NA,"RAIN"
"BV",2011-11-05,1,"NO3T_TRAACS",1.056,NA,"8.1.RAIN"
"BV",2011-11-05,1,"PO4D_LACHAT",0.0388,NA,"RAIN"
"BV",2011-11-05,1,"PO4T_TRAACS",0.11,NA,"RAIN"
"BV",2011-11-07,1,"ClD_LACHAT",0.857,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-07,1,"DOC_TOC",1.099,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-07,1,"NO3T_TOC_TN",0.436,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-07,1,"NO3T_TRAACS",0.467,NA,"8.1.RAIN"
"BV",2011-11-07,1,"PO4D_LACHAT",0.00582,NA,"RAIN"
"BV",2011-11-21,1,"ClD_LACHAT",1.57,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-21,1,"PO4D_LACHAT",-0.0496,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,1,"CaD_ICP",0.1128,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"BV",2011-12-13,1,"ClD_LACHAT",0.757,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,1,"NaD_ICP",0.2369,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"BV",2011-12-13,1,"NO3T_TRAACS",0.33,NA,"8.1.RAIN"
"BV",2011-12-13,1,"PO4D_LACHAT",0.00554,NA,"RAIN"
"BV",2011-12-13,1,"PO4T_TRAACS",0,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,1,"ZnD_ICP",0.0721,NA,NA
